audio_path,ground_truth,transcription,inference_time
2024_07_15 19_51_09 3Foa2Q.wav,"Can I order a house salad, one dressed in Caesar and another with Thousand Island?"," Can I order a house salad, one dressed in Caesar and another with Thousand Island?",0.37488699
2024_07_11 00_18_13 3wAUVg.wav,"Do you have a Fowl Italian dish served with sweet rolls, and could I also get the Parmigiana Sandwich accompanied by some delicious sausage links? Thank you!", Do you have a whole Italian dish served with sweet rolls and could I also get the parmigian  sandwich accompanied by some delicious dumplings?  Thank you.,0.593957901
2024_07_10 12_19_17 FSCp3w.wav,"Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!"," Can you bring me a plain chartre, please?  And without a lump of special hair, there you have it with Willy Trolls.  Thank you.",0.587568998
2024_07_04 06_29_38 Izfx2Q.wav,"Could you add the Side Avocado, and Triple Chocolate?", Then you add the side avocado and triple chocolate.,0.317280293
2024_07_09 09_46_01 E-d4lw.wav,"I would like to try the Beyond Chicken Sandwich Combo with a Buffalo twist, and also the Swai Meal prepared Fajita style. Thank you!", I would like to try the Beyond Chicken sandwich combo with a buffalo twist and also the sweet  milk prepared fajita style.  Thank you.,0.593151569
2024_07_12 03_36_48 P_F2dg.wav,"I will have the ham and eggs on rye toast, please, along with a side of hash browns. And for my second order, could I also get another serving of ham and eggs but prepared over medium? Thank you!"," I will have the ham and eggs on rye toast, please, along with a side of hash browns.  And for my second order, could I also get another serving of ham and eggs, prepared over medium? Thank you.",0.69167304
2024_07_09 09_24_15 Ud57cA.wav,Could you please serve me a turkey sandwich with cottage cheese on it?, Could you please serve me a turkey sandwich with cottage cheese on it?,0.383061171
2024_07_09 19_01_30 jpD6Vw.wav,"May I get a Patty Melt on a bagel and also, could you please prepare another one with a wheat bun? Thank you.", May I get a patty melt on a bagel and also could you please prepare another one with a wheat bun? Thank you.,0.525056839
2024_07_09 10_23_13 mPlfgQ.wav,"Could I please have a hot dog topped with Shirley Temple sauce, and on the side, could you also bring me some chocolate milk? Thank you!"," Could I please have a hot dog topped with Shirley Temple sauce, and on the side could you also bring me some chocolate milk? Thank you.",0.534177303
2024_06_28 11_23_03 hEN1IQ.wav,"Could I get a Canadian Bacon, and Super Nachos with veggies?", Could I get a Canadian Bacon and Super Nachos with veggies?,0.355577946
2024_07_11 00_06_13 QTEDDg.wav,May I please have a B.L.T. sandwich with the addition of white cheddar mac and cheese on the side? Thank you!, May I please have a BLT sandwich with the addition of white cheddar mac and  cheese on the side. Thank you.,0.463975668
2024_06_28 11_42_49 JayBxQ.wav,"I'll have a Sizzinling Beef With Black Pepper Sauce, Hunan Chicken (Spicy), and Pork Chop Sui."," I'll have a sizzling beef with black pepper sauce,  honan chicken, spicy, and pork chop sweet.",0.483441114
2024_07_15 16_13_15 8BixZQ.wav,"""I will have a classic Patty Melt, and could you please add some crispy potato chips on the side?""", I will have a classic patty melt and could you please add some crispy potato chips on the side.,0.413521528
2024_07_15 16_21_50 bUHFBA.wav,"I would love to start my meal with a delicious turkey sandwich, one without any sprouts and another on an egg bagel. Could you please prepare those for me?", I would love to start my meal with a delicious turkey sandwich one without  any sprouts and another one on egg bagel could you please prepare those for me,0.564204454
2024_07_09 09_26_31 uXLE2Q.wav,"Please give me the Beyond Chicken Sandwich Combo with BBQ sauce, and also add a Surf 'n Turf featuring Cod. Thank you!", Please give me the Beyond Chicken Sandwich Combo with BBQ Sauce and also add a Surf & Turf feature card. Thank you.,0.450890541
2024_07_15 19_35_02 n6_VlA.wav,"I need a perfectly cooked Petrale Sole, and for my appetizer, I would like to try the Dragon Roll. Could you please make sure they are both prepared with care? Thank you!"," I need a perfectly cooked petrol sole and for my appetizer, I would like to try the dragon roll.  Could you please make sure they are both prepared with care. Thank you.",0.715919971
2024_06_28 11_12_40 DbcADQ.wav,"Add a Seekh Kebab, and Tandoori Chicken with Large 14"" to my cart.", Add a safe color with 14 inch large to my card.,0.372500658
2024_07_09 10_03_35 fysiOg.wav,"Could you please serve me a cheeseburger, one topped with tangy blue cheese and another featuring classic American cheese? Thank you.", Could you please serve me a cheeseburger one topped with tangy blue cheese and another  featuring classic American cheese thank you.,0.534939051
2024_07_09 10_05_41 fxSRjg.wav,"""I would appreciate a large Reuben sandwich made with milk.""", I would appreciate a large Reuben sandwich made with milk.,0.332848072
2024_07_15 16_25_45 67yegg.wav,"Do you have a Gorgonzola cheese selection on your menu, preferably served atop a freshly baked wheat bread base?"," Do you have a core console or she's selected on your menu?  Prefer to serve on top of fresh baked wheat bread, please.",0.533881187
2024_07_30 02_01_44 Vzukvg.wav,"I would like to order a classic hamburger, but instead of the usual bun, I would love it served on a warm, flaky biscuit with some savory gravy on top. Thank you!"," I would like to order a classic hamburger but instead of the usual bun I would love  it served on a warm flaky biscuit with some savoury gravy on top, thank you.",0.728874922
2024_07_09 18_53_55 79ej3Q.wav,"I need a B.L.T. sandwich paired with a freshly brewed cup of coffee, and on the side, could I also get some garlic-seasoned sliced turkey? Thank you!", I need a BLT sandwich paired with a freshly brewed cup of coffee and on the  side could I also get some garlic seasoned sliced turkey thank you,0.532282591
2024_07_11 00_43_00 EuduYQ.wav,"Could I get a hamburger with extra mayo on the side, and please make sure there's no tomato in it? Thank you!", Could I get a hamburger with extra mayo on it and please make sure there's no tomato in it. Thank you.,0.474844933
2024_07_23 15_00_39 JP3Oaw.wav,May I please have a classic ham and eggs breakfast served alongside an assorted fruit plate?, May I please have a classic ham and eggs breakfast served alongside an deserted floor plate.,0.387925625
2024_07_07 17_40_59 Pjtm0g.wav,"I will take a Super Quesadilla, please, but instead of the usual ingredients, could you make it with breaded beef as used in your Tortas? I think that combination sounds delicious!", I will take a super quesadilla please but instead of the usual ingredients could you make it with  breaded beef as used in your tortas. I think that combination sounds delicious.,0.685959339
2024_06_28 11_47_22 YhiDbA.wav,"I'll have the Cheese Omelette with Toast, and Side Avocado please."," I will have the cheese omelette with toast and sad avocado, please",0.388226509
2024_07_30 02_06_01 jtMoUA.wav,"Can I order a surf and turf with a side of quinoa, about 4 oz in size, along with a hearty cheeseburger accompanied by some loaded garlic mashed potatoes?"," Can I order a surf and turf with a side of quinoa, about 4 ounces in size, along with a hearty cheeseburger accompanied by some loaded garlic mashed potatoes?",0.593658924
2024_07_24 12_10_57 p-vibA.wav,"I want to order a chimichanga made with delicious corn tortillas, please."," I want to order a chimichanga made with delicious corn tortillas, please.",0.374672651
2024_07_12 03_43_18 bpivlw.wav,"I would like to try the Camarones Rancheros served on a crispy corn tortilla, and also could I get a Tostada with some savory refried beans?"," I would like to try the Cameroon's rancheros served on a crispy corn tortilla, and also could I get a tostada with some savory refried beans.",0.552653313
2024_07_12 03_39_36 wTgwsQ.wav,"""I would like to start off my meal with a bowl of the Chef's Soup of the Day, please."""," I would like to start off my meal with a bowl of chef's soup of the day, please.",0.41494751
2024_07_09 10_06_28 RXv72w.wav,"I will have a cheeseburger with jalapeno sweet heat slaw and a hamburger served on bruschetta avocado toast, please."," I will have a cheeseburger with jalapenos, sweetheats law and a hamburger served on a  bruschetta or gordo toast, peace.",0.577176571
2024_07_12 03_23_16 Ze0w1g.wav,"May I order a cheeseburger topped with creamy avocado and melted cheddar, please?"," May I order a cheeseburger topped with creamy avocado and melted cheddar, please.",0.387554169
2024_07_11 00_32_58 5uRkzQ.wav,"""I will have a hot dog served with an ice-cold refreshing iced tea, and for my second dish, I would like some cheese curds without any sauce.""", I will have a hot dog served with an ice cold refreshing iced tea and for my second dish  I would like some cheese curds without any sauce.,0.54014492
2024_07_09 10_23_39 6553CA.wav,"I need a hamburger with yellow mustard and a hot dog that's not split open, please."," I need a hamburger with yellow mustard and a hot dog. Let's not split open, please.",0.421233892
2024_07_15 16_22_59 kHYpVA.wav,"Could I get a delicious lasagna topped with rich, flavorful marinara sauce?"," Can I get a delicious lasagna topped with rich, flavorful mariana sauce?",0.41107583
2024_07_30 02_04_03 lGDXAg.wav,"I would love to order a Denver Omelet served with one delicious pancake on the side, please."," I would love to order a Denver omelette served with one delicious pancake on the side, please.",0.455801964
2024_07_15 19_43_19 24Dxew.wav,"May I order a half portion of the Tandoori Chicken prepared in a milder spice blend, please?"," May I order a half portion of tandoori shiken prepared in a milder spice blend, please?",0.487410784
2024_07_14 05_49_01 _yveww.wav,"May I get the Plant-Based Nuggets Meal, please? Could you add some red bell peppers to it for an extra crunch and flavor? Thank you."," May I get a plant-based nugget meal, please?  Could you add some red bell peppers to it for an extra crunch and flavor?  Thank you.",0.603158951
2024_07_18 11_38_05 tVRNIA.wav,May I please have a classic cheeseburger accompanied by a side of crispy French fries? Thank you!, May I have a classic cheeseburger accompanied by the side of crispy french fries.  Thank you.,0.454244852
2024_07_07 17_47_29 3KoD3A.wav,Could you please serve me a Torta Mexicana with Barbacoa filling? Thank you!, Could you please serve me a torta mexicana with barbacoa filling? Thank you.,0.417029619
2024_07_18 07_56_37 l-EmFA.wav,"""May I please have a full serving of the antipasto salad and a half portion of Peking Duck?""", May I please have a full serving of the antipasto salad and a half portion of pecking duck.,0.450936556
2024_07_14 06_40_34 OkbEhA.wav,"May I get a pepperoni pizza with BBQ sauce on the side, please? Just a touch of light dressing would be perfect."," May I get a pepperoni pizza with BBQ sauce on the side, please?  Just a touch of light dressing would be perfect.",0.517137527
2024_07_24 13_19_45 VBoUBg.wav,"Could I get the Huevos Rancheros basted, please? Thank you!"," Could I get the Huevos Ranchiros Basted, please? Thank you.",0.396744013
2024_07_14 21_03_31 zXT4yQ.wav,"Can I have a cheeseburger, please? Just the sandwich as my entree without any sides or extras. Thank you!"," Can I have a cheeseburger, please? Just the sandwich as my entry without any sides or extra. Thank you.",0.467270851
2024_07_30 02_14_06 3oNUpA.wav,Please give me a delicious turkey sandwich accompanied by some savory garlic fries on the side. Thank you!, Please give me a delicious turkey sandwich accompanied by some savory garlic fries on the side. Thank you,0.466458559
2024_07_08 06_23_16 VtV9aA.wav,"I would like to try the Country Sausage and Eggs on a Wheat Toast, please. Thank you!", I would like to try the country sausage and eggs on a white toast. Please. Thank you.,0.450090647
2024_07_10 09_54_43 qJIE1Q.wav,"I would love to order a delicious pastrami sandwich on whole wheat bread, please.", I would love to order delicious pastrami sandwich on whole wheat bread please.,0.378460169
2024_07_15 19_34_16 -6F8ZA.wav,"May I get a plate of delicious Saag Gosht served with warm, freshly baked Nan bread on the side? And for my drink, could you please bring me a Space Dust IPA to complement the flavors? Thank you.", May I get a plate of delicious zagosh served with warm freshly baked naan bread on the  side.  And for my drink could you please bring me a space-tast Ipa to complement the flavours.  Thank you.,0.760449886
2024_06_28 11_15_20 MGwfpQ.wav,"Can I get the Butter Chicken with Large 14"", and Gulab Jamun, please?", can I get butter chicken with large 14-inch and gulab jamun please,0.38551116
2024_07_30 02_16_22 6dQkeg.wav,"I want to order the Surf 'n Turf, but instead of the usual sides, I would like it served with a generous portion of quinoa - let's make that an 8-ounce double serving if possible.", I want to order the surf and turf but instead of the usual sides I would like  it served with a generous portion of quinoa. Let's make that an 8 ounce double  serving if possible,0.64100337
2024_07_09 10_30_46 36P_rQ.wav,"I would like to order a delicious piece of grilled salmon, and for my side dish, I would love some creamy white clam chowder in a cup. Thank you!"," I would like to order a delicious piece of red salmon, and from my side, I would love some creamy white clam chowder in a cup. Thank you!",0.536564112
2024_07_16 16_37_06 WJB4Lg.wav,"I would like to order a cheeseburger accompanied by a side of mozzarella sticks, please."," I would like to order a cheeseburger accompanied by a side of mozzarella sticks, please.",0.431339979
2024_07_24 13_10_54 rd9xGQ.wav,"I would like to try a medium-sized Chicken Caesar Salad with the classic Caesar dressing, please.", I would like to try a medium sized chicken caesar salad with the classic caesar dressing please.,0.435154438
2024_07_30 01_58_10 GLjSQg.wav,"May I get a California Benedict with an addition of cottage cheese, and please make sure there are no hash browns included.", May I get a California Benedict with an addition of cottage cheese and please make sure there are no hash browns included.,0.517285109
2024_07_09 10_59_28 0O3Eag.wav,"Can I order a delicious Patty Melt accompanied by some crispy Sweet Potato Fries on the side, please?"," Can I order a delicious patty melt accompanied by some crispy sweet potato fries on the side, please.",0.438626289
2024_07_11 01_01_40 wIZ-IA.wav,"""I would appreciate a hot dog without any mustard on it.""", I would appreciate a hot dog without any mustard on it.,0.340745687
2024_07_11 00_43_34 lXXfCA.wav,"""I would love to order a plate of Spaghetti Con Polpette, and could you please add the Side Bolognese Sauce on the side?"""," I would love to order a plate of Spaghetti Con Papalette, and could you please add the  side bolognese sauce on the side?",0.552189827
2024_07_11 00_47_43 Bsl6zg.wav,"I want to order a sandwich with a juicy white-slice turkey, layered with fresh lettuce and tomatoes on whole grain bread.", I want to order a sandwich with a juicy white sliced turkey layered with fresh  lettuce and tomatoes on whole grain bread.,0.458269835
2024_07_11 00_34_29 HfXzmA.wav,"May I get a chimichanga topped with chile colorado, please?"," May I get a shimmy shanga topped with chili Colorado, please?",0.377768993
2024_06_28 11_22_28 JjhJVA.wav,"Make it a Fish Quesadilla with Mild Sauce, Enchiladas De Mole with Soup cup, and Horchata with Small for me.", Make it a fish ke siddhiya and mild sauce and enchiladas de mole with soup cup and horchata  with small for me.,0.547272444
2024_07_09 09_21_17 5L0OQQ.wav,"I would like to start my meal with a classic ham and eggs dish, but I would love it served alongside an indulgent side of oatmeal brulee. Could you please prepare that for me?"," I would like to start my meal with a classic ham and eggs dish, but I would love it served alongside an indulgent side of oatmeal brulee.  Could you please prepare that for me?",0.653540611
2024_07_09 18_56_52 0xXW1A.wav,"May I order a Patty Melt with a Sub Turkey Patty and on the side, could I also have a Cup of Chili? Thank you.", may I order a patty melt with a sub turkey patty and on the side could I  also have a cup of chili thank you,0.562776089
2024_07_30 02_13_50 1Ig7qw.wav,"Can you bring me a veggie scramble with no side, and also another one on rye toast? Thank you!"," Can you bring me a veggie scramble with no side, and also another one on rye toast?  Thank you.",0.547123909
2024_07_12 03_22_23 HJx7Pw.wav,"May I order a pastrami sandwich on rye bread, topped with Swiss cheese and served with a side of raisin nut roll?", May I order a pastrami sandwich on rye bread topped with Swiss cheese and served with a side of raisin nut roll.,0.500124931
2024_07_30 02_21_58 ejpBMg.wav,"I want to order a Buffalo Chicken Sandwich with Marinara Dip, and also please prepare it as a full meal.", I want to order a buffalo chicken sandwich with a marinara dip and also please prepare it as a full meal.,0.456037045
2024_07_11 00_25_52 4av_6Q.wav,"I will take a turkey sandwich on rye bread, please."," I will take a turkey sandwich on rye bread, please.",0.340208292
2024_07_11 00_12_38 jd9y7A.wav,"May I get a delicious salami sandwich served on a fresh, crispy onion roll?", May I get a delicious salami sandwich served on a fresh crispy onion roll?,0.37915349
2024_07_14 06_40_06 7_6Uww.wav,"I would like to order a bottle of Caposaldo Chianti, please. No additional modifiers needed for the wine tonight."," I would like to order a bottle of Capo Saldo Schvatte, please.  No additional modifier is needed for the wine tonight.",0.534728527
2024_07_12 03_44_56 Om_Ggw.wav,"I want to order a classic ham and eggs dish served on warm, crusty sourdough toast. Additionally, I would love another serving of the same with a side of fluffy buttermilk biscuits smothered in savory sausage gravy."," I want to order a classic ham and eggs dish served on warm, crusty sourdough toast.  Additionally, I would love to have another serving of the same with a side of fluffy buttermilk biscuits smothered in savory sausage gravy.",0.748461246
2024_07_09 12_55_47 KSl-EQ.wav,"I will take the New York Steak and a bowl of Minestrone Soup, please.", I need a 10-ounce so I meal and I need an 11-ounce so I mean please would you  also recommend any side dishes that would pair well with these thanks,0.570280075
2024_07_11 00_27_20 2qrULw.wav,"I would like to try the grilled salmon served over a fresh salad, and I would prefer it if you could add some creamy ranch dressing on top. Thank you!", I would like to try the grilled salmon served over a fresh salad. I would prefer if you could...,0.451739073
2024_07_12 03_28_44 k60ezQ.wav,Could I get a hamburger with side yellow mustard and another one served with cherry berry crepes?, Could I get a hamburger with side yellow mustard and another one served with cherry berry crepes?,0.490247965
2024_07_12 03_24_47 2sNDeg.wav,"May I order a super quesadilla without any salsa, please?"," May I order a Super Quesadilla without any salsa, please?",0.389895678
2024_07_30 02_03_19 hVeuOQ.wav,"""May I get a Patty Melt with a side of onions, please?"""," May I get a patty melt with a side of onions, please?",0.385118008
2024_07_11 01_02_13 TH4n1Q.wav,"I would like to order a BLT sandwich, but instead of the usual bacon, could you please substitute it with some fresh and healthy vegetables? Also, for my second item, I would love a turkey sandwich on sourdough bread. Thank you!", I would like to order a BLT sandwich but instead of the usual bacon could you  please substitute it with some fresh and healthy vegetables also for my second  item I would love a turkey sandwich on sourdough bread thank you,0.717284203
2024_07_23 14_57_07 8ykxIQ.wav,May I get the California Fries without any additional modifiers? Thank you!, May I get the California fries without any additional modifiers. Thank you,0.348065376
2024_07_24 06_25_09 2P06gQ.wav,"Can I have a plate of yellowtail sashimi, please? Seven pieces would be perfect. Thank you!"," Can I have a plate of yellow tail sashimi, please seven pieces would be perfect. Thank you",0.495458841
2024_07_24 06_22_32 JNb7bA.wav,Can you bring me a Turkey Everything Bagel sandwich?, can you bring me a turkey everything bagel sandwich,0.326798201
2024_07_12 03_24_03 6r-oxw.wav,"Can I have a hamburger with two fried eggs on top, please?"," Can I have a hamburger with two fried eggs on top, please?",0.356156349
2024_07_12 03_39_50 QjE58w.wav,"Can I order a turkey sandwich with crispy fries on the side, please?", Can I order a turkey sandwich with crispy fries on the side please?,0.370720387
2024_07_07 17_47_50 GDtXtQ.wav,"I would love to start with the whole steamed seabass, served without any additional ingredients (nan), followed by a bowl of sweet and sour catfish soup. Thank you!", to start with the whole steamed sea bass served without any additional ingredients  followed by a bowl of sweet and sour catfish soup thank you,0.518658161
2024_07_14 06_41_49 MDSDsA.wav,"Please give me the Lamb Rogan Josh and Saag Corn, both without any additional modifiers. Thank you!"," Please give me a lamb, rogan, yosh, and saag korn.  Both with the additional modifying. Thank you.",0.56648922
2024_07_08 05_03_41 nsn0bg.wav,"I will have the spicy chicken wings, one order with a generous sprinkle of green peppers and another doused in zesty picante sauce. Thank you!"," I will have the spicy chicken wings, one order with a generous sprinkle of green peppers  and another dalgen zesty pecan sauce.  Thank you.",0.64658761
2024_07_24 00_56_15 mgGXdQ.wav,"I would like some bruschetta topped with a delightful combination of creamy hummus, ripe tomatoes, and fresh avocado slices."," I would like some rochetta topped with delightful combination of creamy hummus, ripe tomato and fresh avocado slices.",0.44587183
2024_07_09 10_23_56 elzJFw.wav,"Do you have a New York Cheesecake served without any plasticware, and could I also get some sliced salami on wheat bread? Thank you.", Do you have a New York cheesecake served without any plasticware?  And could I also get some sliced salami on wheat bread?  Thank you.,0.569399834
2024_07_15 18_13_42 34O1Iw.wav,"May I get a Patty Melt cooked to medium rare, please?"," May I get a patty melt and cook it to medium rare, please?",0.381017208
2024_07_09 10_25_49 l-F5qQ.wav,"Could you please serve me a Swai Meal with half a serving of Red Potato Mash, and also the Surf 'n Turf accompanied by another half serving of Red Potato Mash? Thank you.", Could you serve me a swine meal with half a serving of red potato mash and also the  surf and turf accompanied by another half serving of red potato mash?  Thank you.,0.617110014
2024_07_11 00_08_44 YAAfPA.wav,"Can I have a Chicken Caesar Salad, but please make sure there are no anchovies in it? Also, could you confirm that the dressing doesn't contain any ice cream? Thank you."," Can I have a chicken caesar salad, but please make sure there are no anchovies in it.  Also, can you confirm the dressing doesn't contain any ice cream?  Thank you.",0.657947302
2024_07_30 01_59_33 D6PiCg.wav,"May I please have a plate of boneless wings, half coated in ranch and the other half served plain? Thank you.", May I please have a plate of boneless wings half coated in ranch and the other half served plain. Thank you.,0.452985525
2024_07_11 00_54_35 P-82DQ.wav,"""I would love to order a Chef's Salad, but could you please serve it in a full pan? That way I can enjoy every bit of the fresh ingredients."""," I would love to order a chef salad, but could you please serve it in a full pan?  That way I can enjoy every bit of the fresh ingredients.",0.568434477
2024_07_09 10_01_51 IMoOgw.wav,"I would love to order a Hawaiian Pizza on a Honey Corn Bagel, please!"," I would love to order a Hawaiian pizza on a honey corn bagel, please",0.418492556
2024_07_18 07_55_01 GXr_7w.wav,"I would like to try a hamburger served on a brioche French toast base, please."," I would like to try a hamburger served on a brioche french toast base, please",0.41572237
2024_07_09 10_22_09 Li6kDg.wav,"Can I order a six-pack of BJ's Brewhouse Blonde, and also add a six-pack of BJ's Committed Double IPA to my selection? Thank you.", Can I order a six-pack of BJ's Brewhouse Blonde and also add a six-pack of BJ's Committed  Double IPA to my selection?  Thank you.,0.638798475
2024_07_30 02_15_45 wCR27w.wav,"Can I order a pastrami sandwich on a French roll and another one on wheat bread, please?", Can I order a pastrami sandwich on a French roll and another one on wheat bread please?,0.414870977
2024_07_30 02_22_37 SW3A6w.wav,"""I will have a Reuben sandwich and a refreshing glass of lemonade, please.""", I WILL HAVE A RUBEN SANDWICH AND A REFRESHING GLASS OF LEMONADE PLEASE,0.450158119
2024_07_11 00_12_21 lF0VQg.wav,"May I order a California Benedict served with French fries, and also a BLT sandwich with a side of small milk?", May I order a California Benedict served with french fries and also a BLT with a  side of small milks.,0.46229291
2024_07_09 10_25_35 lrJnqg.wav,"Can you bring me a classic American-style cheeseburger, please?", could you bring me a classic american-style cheeseburger please,0.345331192
2024_07_30 02_20_26 9hxCsg.wav,"Can I have the Surf 'n Turf served with a side of Cinnamon Sweet Potato Mash, please? Four ounces would be perfect."," Can I have the surf and turf served with a side of cinnamon sweet potato mash, please four ounces would be perfect",0.444023132
2024_07_15 16_21_09 IbmVzQ.wav,"I would like a hamburger without cheese and an extra-large fries on the side, please."," I would like a hamburger without cheese and an extra large fries on the side, please.",0.391640186
2024_07_14 06_43_18 cxWCBg.wav,"I would love to order a delicious hamburger, and I would like it served with a side of crisp salad tossed in thousand island dressing. Thank you!"," I would love to order a delicious hamburger, and I would like it served with a side of  crisp salad, tossed in a Thousand Eyes land dressing.  Thank you.",0.613260269
2024_07_09 18_51_55 NWrxvg.wav,"Could I have a California sandwich on sliced multigrain bread, and also a small house salad to accompany it?", Can I have a California sandwich on sliced multigrain bread and also a small  house salad to accompany it?,0.473407745
2024_07_01 07_41_15 nqEkaA.wav,"I would like to get a Chicken Teriyaki with Blue Cheese, and Salmon Teriyaki.", I would like to get a chicken teriyaki with blue cheese and salmon teriyaki.,0.428880215
2024_06_28 12_20_04 Bb0vMg.wav,"It will be the Cheese (King Kong), Dominga Mimosa Sour, and Barebottle Can for me."," KingKong from Indra, Menusar Tower, Gorbik's Cube can for me.",2.120123148
2024_07_24 06_24_43 vXZFwA.wav,"I need a California sandwich on sliced rye bread and a side of pozole soup, please."," I need a california sandwich on sliced fry bread and a side of pozole soup, please",0.415096521
2024_07_08 06_26_34 rZTm6w.wav,"""I would love to start off my meal with a side of garlic butter edamame and a delightful bowl of fruit alongside the mini breakfast.""", I would love to start off my meal with a side of garlic cheddar edamame and a delightful bowl of fruit alongside the mini breakfast.,0.517715216
2024_07_09 09_40_46 Gt-v1w.wav,Could you please serve me a chimichanga with ranch dressing on one side and another chimichanga topped with steak? Thank you., Could you please serve me a chimichanga with rank dressing on one side and another chimichanga top with steak. Thank you.,0.485301971
2024_07_30 02_09_11 8u8wqg.wav,"May I please have a Shrimp Tempura Hand Roll and also, could you add the Green Monster Roll to my order? Thank you.", May I please have a shrimp tempura hand roll and also could you add the green monster roll to my order? Thank you,0.470357895
2024_07_12 03_33_52 1oK9Fw.wav,"Can you bring me a regular burrito with asada and also, I would like to have the Torta Mexicana prepared with steak. Thank you!", Can you bring me a regular burrito with a asada and also I would like to have the torta  mexicana prepared with steak.  Thank you.,0.600797892
2024_07_09 09_43_24 Er3edw.wav,"Could I get a hamburger with freshly sliced tomatoes on top, please?"," Could I get a hamburger with freshly sliced tomatoes on top, please?",0.36341238
2024_07_18 08_46_15 bNgvAg.wav,"I need a large bowl of Wor Won Ton Soup to start off my meal, please.", I need a large bowl of war wanton soup to start off my meal please,0.406644821
2024_07_11 01_03_28 iLP9lA.wav,"Can I have the Swai Meal with a side of standard-serving, 4 oz Red Potato Mash? Also, could you please add the Surf 'n Turf dish to my order along with another portion of the same red potato mash on the side."," Can I have this white meal with a side of standard serving four ounce red potato mash?  Also, could you please add the surf and turf dish to my order?  Along with another portion of the same red potato mash on the side.",0.834228754
2024_07_30 02_19_59 CaxyVg.wav,"Please give me a delicious Patty Melt accompanied by some refreshing Sweet Tea, and also add an appetizing Country Skillet with Scrambled eggs on the side. Thank you!", Please give me a delicious patty melt accompanied by some refreshing sweet tea  and also add an appetizing country skillet with scrambled eggs on the side.  Thank you.,0.580183506
2024_07_11 02_48_12 rTG_LA.wav,"Can I order a delicious breakfast of ham and eggs, served with a delightful side of bananas and cream?", Can I order a delicious breakfast of ham and eggs served with a delightful slide of banana and cream?,0.49095726
2024_07_18 21_14_02 QSWufQ.wav,May I please have a Chicken Caesar Salad with Vinaigrette dressing on the side? Thank you., May you please have a Shikyan Caesar salad with vinaigrette dressing on the side.  Thank you.,0.469888449
2024_07_11 00_23_39 agYHeA.wav,I will take the Plant-Based Nuggets Meal with a side of 4 oz Quinoa., I will take the plant-based nugget meal with a side of four ounce quinoa.,0.416719437
